date,AAPL,MSFT,NVDA,AMZN,TSLA,GOOGL,META,JPM,SPY
2021-08-06,54126800,16589300,178497000,52752000,46869000,20488000,8925000,13328800,46930000
2021-08-09,48908700,16117600,146443000,42964000,44145900,17760000,7798900,9516900,41222600
2021-08-10,69023100,18616600,179238000,48252000,40296900,19414000,7469900,8667000,43339300
2021-08-11,48493500,13955900,185925000,58944000,29401800,15352000,8400300,9156500,44034300
2021-08-12,72282600,14561300,151652000,46282000,52377300,16506000,7170700,8844200,38909400
2021-08-13,59375000,18249000,183063000,41134000,50194500,15948000,7195700,8980900,39470300
2021-08-16,103296000,22507600,210876000,66394000,68032200,22384000,11222100,8755800,73740000
2021-08-17,92229700,20075300,204585000,67758000,71163900,21716000,12328700,9347200,92673900
2021-08-18,86326000,21813000,285913000,56086000,61048200,19258000,10042400,8065500,89351900
2021-08-19,86960300,29850500,766555000,75658000,42940500,21782000,12004500,9517700,92812200
2021-08-20,60549600,40817600,675741000,67168000,44525700,31194000,8697700,6974100,72008700
2021-08-23,60131800,22830200,575807000,65362000,60794700,28454000,10942000,7934600,54973000
2021-08-24,48606400,18175800,297299000,51036000,39249300,19268000,9235100,7670900,38744700
2021-08-25,58991300,20006100,347701000,33606000,37936800,15848000,9684500,11335000,40529700
2021-08-26,48597200,17666100,237940000,41976000,39642900,20610000,7888700,11027500,57829600
2021-08-27,55802400,22605700,304722000,48048000,41501400,28780000,11219100,8780200,77235100
2021-08-30,90956700,16348100,262580000,63844000,55812600,24434000,13547300,7937600,48357400
2021-08-31,86453100,26285300,259850000,87128000,62566200,22448000,12345400,12340800,59300200
2021-09-01,80313700,18983800,201767000,72598000,39612900,21936000,11567200,8729900,48721400
2021-09-02,71115500,16285600,187834000,58474000,38331900,32342000,14832900,8813300,42501000
2021-09-03,57808700,14747900,280532000,51514000,45738300,19850000,7509600,7959700,47170500
2021-09-07,82278300,17180400,198107000,54758000,60119400,20124000,10793800,9285600,51671500
2021-09-08,74420200,15046800,254434000,61068000,56379000,18344000,11067200,7852700,56181900
2021-09-09,57305700,19927000,196856000,54384000,42233100,15314000,9098900,7904300,57970400
2021-09-10,140893200,19633400,248376000,47946000,45552600,36840000,11549600,8311600,89948200
