date,AAPL,MSFT,NVDA,AMZN,TSLA,GOOGL,META,JPM
2021-08-09,,,,,,,,
2021-08-10,,,,,,,,
2021-08-11,,,,,,,,
2021-08-12,,,,,,,,
2021-08-13,,,,,,,,
2021-08-16,,,,,,,,
2021-08-17,,,,,,,,
2021-08-18,,,,,,,,
2021-08-19,,,,,,,,
2021-08-20,,,,,,,,
2021-08-23,,,,,,,,
2021-08-24,,,,,,,,
2021-08-25,,,,,,,,
2021-08-26,,,,,,,,
2021-08-27,,,,,,,,
2021-08-30,,,,,,,,
2021-08-31,,,,,,,,
2021-09-01,,,,,,,,
2021-09-02,,,,,,,,
2021-09-03,,,,,,,,
2021-09-07,,,,,,,,
2021-09-08,,,,,,,,
2021-09-09,,,,,,,,
2021-09-10,,,,,,,,
2021-09-13,,,,,,,,
2021-09-14,,,,,,,,
2021-09-15,,,,,,,,
2021-09-16,,,,,,,,
2021-09-17,,,,,,,,
2021-09-20,,,,,,,,
2021-09-21,,,,,,,,
2021-09-22,,,,,,,,
2021-09-23,,,,,,,,
2021-09-24,,,,,,,,
2021-09-27,,,,,,,,
2021-09-28,,,,,,,,
2021-09-29,,,,,,,,
2021-09-30,,,,,,,,
2021-10-01,,,,,,,,
2021-10-04,,,,,,,,
2021-10-05,,,,,,,,
2021-10-06,,,,,,,,
2021-10-07,,,,,,,,
2021-10-08,,,,,,,,
2021-10-11,,,,,,,,
2021-10-12,,,,,,,,
2021-10-13,,,,,,,,
2021-10-14,,,,,,,,
2021-10-15,,,,,,,,
2021-10-18,,,,,,,,
2021-10-19,,,,,,,,
2021-10-20,,,,,,,,
2021-10-21,,,,,,,,
2021-10-22,,,,,,,,
2021-10-25,,,,,,,,
2021-10-26,,,,,,,,
2021-10-27,,,,,,,,
2021-10-28,,,,,,,,
2021-10-29,,,,,,,,
2021-11-01,0.7699244635380815,0.6536708528206182,0.6552189734786198,0.6169237699198593,0.2927972928976904,0.5912862976365504,0.48407874459534733,0.5853665771230271
2021-11-02,0.7709496372701335,0.655091136807349,0.6564319617368728,0.6148557678879393,0.2763352043602945,0.5967305814005044,0.48074727017230057,0.5854527369864145
2021-11-03,0.7739972047857455,0.6558650597632081,0.6616832583811024,0.6201563187684171,0.2867383722471405,0.59904136119611,0.48521497864577745,0.5846860025970401
2021-11-04,0.768570818714231,0.6574145328604794,0.6004087024711967,0.6210441704229231,0.28994022786468326,0.6036773507124872,0.48927610598096793,0.5676714362326214
2021-11-05,0.7778938747644956,0.6539304554462018,0.5971279919452077,0.6215108314298806,0.2835660455170769,0.6032367548788676,0.4897104579248205,0.5653726713928483
2021-11-08,0.7764232859696649,0.654825166909097,0.5913610949552115,0.6200225398549983,0.2739581584036064,0.6030879811251505,0.4890236633431993,0.5711664367611512
2021-11-09,0.7763508795550563,0.6557788131378309,0.5984498178418182,0.5868814245148453,0.28026467795645293,0.6024197785941614,0.4907561878637488,0.5779469160168198
2021-11-10,0.7824429014952887,0.6628955249495215,0.6032823813126154,0.5917181406090702,0.23608620141670103,0.6079963222021707,0.4934952039182846,0.5664181088003923
