model,regime,n,MAE_price,RMSE_price,MAE_return,RMSE_return,Directional_Accuracy
AR1,all,13120,0.9526053107398669,2.01292676536529,0.00938566809692325,0.014310009979680927,0.5210360947199019
AR1,high,3020,0.8793343706709291,1.9876851468844876,0.011570049569521294,0.0191512181060146,0.5064978340553149
AR1,low,3485,1.0198382088438696,2.0501764431772913,0.007338184666897486,0.010132692944818519,0.5203698353077145
AR1,mid,6615,0.9506357852849525,2.004554931208077,0.009467096321623732,0.013587227068925413,0.5280097161074845
Lasso,all,13100,0.9508810247339777,2.008100243765245,0.009362189260607381,0.014295006334446346,0.5292040831990176
Lasso,high,3010,0.8904204861705873,2.0112505349593217,0.011633033523330984,0.019274718787123314,0.5085255767301906
Lasso,low,3485,1.0138404057213413,2.040593744271815,0.00731643247945792,0.010112869017356543,0.5319271886737937
Lasso,mid,6605,0.945214526374378,1.9892921274229272,0.009406734476581316,0.0134916775970713,0.5371750038011252
LinearRegression,all,13100,0.9747380599795301,2.0705747536784034,0.00960033750372437,0.01475572900270068,0.5023409317675953
LinearRegression,high,3010,0.9236681158307258,2.1563860687531644,0.012094297387760177,0.02032279674384639,0.4928117686392511
LinearRegression,low,3485,1.0342805272222937,2.0740597741762894,0.007456278786674264,0.010268568146830907,0.5059231436001156
LinearRegression,mid,6605,0.9665949916293213,2.0283887887506356,0.009595072610154623,0.013710725181986285,0.5047894176676296
RandomWalk,all,13100,0.9554469770329599,2.0082237155611655,0.009383209008069207,0.014275591378769681,0.4934377158646097
RandomWalk,high,3010,0.8919738075661897,2.011487139625827,0.011623737170471271,0.019238018323837,0.4657305249080575
RandomWalk,low,3485,1.018909206417746,2.0357332098376415,0.00733726519047542,0.010086110772519436,0.5059231436001156
RandomWalk,mid,6605,0.9508880626785313,1.9920559675174851,0.009441668422979745,0.013485344318810875,0.4994678424813745
Ridge,all,13100,0.9504438805534098,2.0070455598906296,0.0093574041903628,0.014284358354143054,0.5285133164479239
Ridge,high,3010,0.8885816736442925,2.0069897527757745,0.01161717007195174,0.019248702024336036,0.5108659311267135
Ridge,low,3485,1.0139101107915331,2.0405160179263615,0.007319037468582001,0.010115695258254656,0.5310603871713377
Ridge,mid,6605,0.9451487148329827,1.9891842239206183,0.009403098773530611,0.013485117174252928,0.5351984187319446
